Windspeed (m/s), Pitch, Voltage (V), Current (A), Power (W), RPM, R Load (Ohms), Resistance (ohm)
7.00,1180.00,5.39,0.52,2.82,1020.00,10.00,10.31
7.00,1180.00,5.25,0.51,2.74,1000.00,10.00,10.35
7.00,1180.00,5.29,0.51,2.70,985.00,10.00,10.34
7.00,1180.00,5.18,0.49,2.52,985.00,10.00,10.49
7.00,1180.00,5.13,0.50,2.52,967.50,10.00,10.27
7.00,1180.00,5.16,0.49,2.44,970.00,10.00,10.61
7.00,1180.00,5.10,0.49,2.51,950.00,10.00,10.36
7.00,1180.00,5.08,0.48,2.47,945.00,10.00,10.54
7.00,1180.00,4.97,0.47,2.36,947.50,10.00,10.58
7.00,1180.00,4.98,0.48,2.34,935.00,10.00,10.46
7.00,1180.00,4.99,0.47,2.32,935.00,10.00,10.55
7.00,1180.00,5.01,0.47,2.38,952.50,10.00,10.54
7.00,1180.00,4.93,0.47,2.33,940.00,10.00,10.43
7.00,1180.00,4.90,0.47,2.29,950.00,10.00,10.48
7.00,1180.00,4.99,0.47,2.33,950.00,10.00,10.67
7.00,1180.00,5.01,0.48,2.42,932.50,10.00,10.39
7.00,1180.00,5.01,0.48,2.41,932.50,10.00,10.43
7.00,1180.00,4.98,0.47,2.33,937.50,10.00,10.63
7.00,1200.00,4.95,0.47,2.34,950.00,10.00,10.43
7.00,1200.00,4.93,0.47,2.24,930.00,10.00,10.59
7.00,1200.00,4.86,0.46,2.21,922.50,10.00,10.60
7.00,1200.00,4.79,0.46,2.20,915.00,10.00,10.42
7.00,1200.00,4.74,0.45,2.12,907.50,10.00,10.48
7.00,1200.00,4.73,0.45,2.15,895.00,10.00,10.43
7.00,1200.00,4.73,0.45,2.12,890.00,10.00,10.51
7.00,1200.00,4.65,0.44,2.06,892.50,10.00,10.51
7.00,1200.00,4.72,0.45,2.11,897.50,10.00,10.54
7.00,1200.00,4.69,0.44,2.06,890.00,10.00,10.59
7.00,1200.00,4.67,0.45,2.12,887.50,10.00,10.38
7.00,1200.00,4.61,0.44,2.06,895.00,10.00,10.37
7.00,1200.00,4.74,0.45,2.11,897.50,10.00,10.47
7.00,1200.00,4.72,0.45,2.11,887.50,10.00,10.57
7.00,1200.00,4.72,0.45,2.12,900.00,10.00,10.56
7.00,1200.00,4.65,0.45,2.10,895.00,10.00,10.28
7.00,1200.00,4.73,0.45,2.11,890.00,10.00,10.42
7.00,1200.00,4.71,0.44,2.10,887.50,10.00,10.58
7.00,1200.00,4.64,0.44,2.07,902.50,10.00,10.45
7.00,1250.00,4.59,0.44,2.02,890.00,10.00,10.47
7.00,1250.00,4.49,0.42,1.91,887.50,10.00,10.59
7.00,1250.00,4.33,0.42,1.83,847.50,10.00,10.35
7.00,1250.00,4.24,0.41,1.75,837.50,10.00,10.34
7.00,1250.00,4.18,0.40,1.65,817.50,10.00,10.52
7.00,1250.00,4.08,0.39,1.60,807.50,10.00,10.46
7.00,1250.00,4.05,0.38,1.54,795.00,10.00,10.52
7.00,1250.00,3.98,0.38,1.51,790.00,10.00,10.45
7.00,1250.00,3.98,0.38,1.50,790.00,10.00,10.55
7.00,1250.00,3.95,0.37,1.47,782.50,10.00,10.58
7.00,1250.00,3.87,0.37,1.43,775.00,10.00,10.45
7.00,1250.00,3.89,0.37,1.43,777.50,10.00,10.57
7.00,1250.00,3.94,0.37,1.47,775.00,10.00,10.56
7.00,1250.00,3.87,0.37,1.43,782.50,10.00,10.42
7.00,1250.00,3.88,0.37,1.43,767.50,10.00,10.50
7.00,1250.00,3.90,0.37,1.46,782.50,10.00,10.48
7.00,1250.00,3.84,0.37,1.42,772.50,10.00,10.42
7.00,1250.00,3.92,0.37,1.47,780.00,10.00,10.49
7.00,1250.00,3.89,0.37,1.45,777.50,10.00,10.52
7.00,1300.00,3.70,0.35,1.33,767.50,10.00,10.45
7.00,1300.00,3.38,0.33,1.09,725.00,10.00,10.24
7.00,1300.00,3.03,0.28,0.84,670.00,10.00,10.74
7.00,1300.00,2.68,0.27,0.67,625.00,10.00,9.96
7.00,1300.00,2.44,0.23,0.60,577.50,10.00,10.71
7.00,1300.00,2.41,0.21,0.51,542.50,10.00,11.34
7.00,1300.00,2.29,0.20,0.46,517.50,10.00,11.43
7.00,1300.00,2.07,0.20,0.38,502.50,10.00,10.43
7.00,1300.00,2.07,0.19,0.38,487.50,10.00,11.19
7.00,1300.00,2.07,0.18,0.36,480.00,10.00,11.72
7.00,1300.00,1.92,0.19,0.35,475.00,10.00,10.32
7.00,1300.00,1.82,0.19,0.33,470.00,10.00,9.62
7.00,1300.00,1.84,0.17,0.33,467.50,10.00,10.56
7.00,1300.00,1.80,0.18,0.33,465.00,10.00,10.12
7.00,1300.00,1.86,0.18,0.32,465.00,10.00,10.17
7.00,1300.00,1.77,0.18,0.33,462.50,10.00,9.75
7.00,1300.00,1.92,0.17,0.33,462.50,10.00,11.55
7.00,1300.00,1.86,0.17,0.31,465.00,10.00,11.13
7.00,1300.00,1.77,0.18,0.31,460.00,10.00,10.04
7.00,1350.00,1.81,0.17,0.31,460.00,10.00,10.78
7.00,1350.00,1.75,0.14,0.26,440.00,10.00,12.06
7.00,1350.00,1.53,0.15,0.23,422.50,10.00,10.12
7.00,1350.00,1.59,0.13,0.20,410.00,10.00,12.35
7.00,1350.00,1.46,0.13,0.18,402.50,10.00,11.45
7.00,1350.00,1.37,0.13,0.18,392.50,10.00,10.81
7.00,1350.00,1.42,0.11,0.15,385.00,10.00,12.49
7.00,1350.00,1.43,0.12,0.17,382.50,10.00,12.15
7.00,1350.00,1.35,0.12,0.17,380.00,10.00,11.75
7.00,1350.00,1.41,0.12,0.15,377.50,10.00,12.30
7.00,1350.00,1.21,0.13,0.15,375.00,10.00,9.43
7.00,1350.00,1.25,0.12,0.15,375.00,10.00,10.12
7.00,1350.00,1.31,0.12,0.15,375.00,10.00,10.69
7.00,1350.00,1.23,0.13,0.15,375.00,10.00,9.57
7.00,1350.00,1.28,0.12,0.15,375.00,10.00,10.48
7.00,1350.00,1.37,0.11,0.15,375.00,10.00,12.35
7.00,1350.00,1.38,0.11,0.15,375.00,10.00,12.28
7.00,1350.00,1.35,0.12,0.15,375.00,10.00,11.62
7.00,1350.00,1.23,0.12,0.14,375.00,10.00,10.22
7.00,1400.00,1.22,0.11,0.14,375.00,10.00,11.12
7.00,1400.00,1.16,0.10,0.13,360.00,10.00,11.42
7.00,1400.00,1.12,0.10,0.10,345.00,10.00,11.49
7.00,1400.00,1.05,0.08,0.09,332.50,10.00,13.08
7.00,1400.00,0.96,0.09,0.08,322.50,10.00,10.79
7.00,1400.00,0.89,0.07,0.06,315.00,10.00,12.49
7.00,1400.00,0.94,0.08,0.06,310.00,10.00,12.10
7.00,1400.00,0.85,0.08,0.05,307.50,10.00,10.63
7.00,1400.00,0.88,0.08,0.05,302.50,10.00,11.32
7.00,1400.00,0.71,0.08,0.05,302.50,10.00,9.30
7.00,1400.00,0.76,0.08,0.05,300.00,10.00,9.38
7.00,1400.00,0.91,0.07,0.06,300.00,10.00,12.31
7.00,1400.00,0.84,0.07,0.06,300.00,10.00,12.44
7.00,1400.00,0.69,0.08,0.06,302.50,10.00,8.64
7.00,1400.00,0.81,0.06,0.06,300.00,10.00,12.44
7.00,1400.00,0.88,0.07,0.06,297.50,10.00,13.32
7.00,1400.00,0.77,0.07,0.05,297.50,10.00,11.58
7.00,1400.00,0.75,0.07,0.05,300.00,10.00,10.38
7.00,1400.00,0.80,0.07,0.06,300.00,10.00,11.09
7.00,1450.00,0.68,0.08,0.06,300.00,10.00,8.81
7.00,1450.00,0.66,0.08,0.05,292.50,10.00,8.85
7.00,1450.00,0.75,0.07,0.04,285.00,10.00,11.32
7.00,1450.00,0.58,0.06,0.05,280.00,10.00,8.98
7.00,1450.00,0.70,0.06,0.04,275.00,10.00,10.77
7.00,1450.00,0.54,0.06,0.04,272.50,10.00,8.53
7.00,1450.00,0.70,0.06,0.04,272.50,10.00,11.39
7.00,1450.00,0.59,0.06,0.03,272.50,10.00,9.29
7.00,1450.00,0.62,0.06,0.04,270.00,10.00,9.48
7.00,1450.00,0.55,0.06,0.03,270.00,10.00,8.65
7.00,1450.00,0.56,0.05,0.04,270.00,10.00,10.20
7.00,1450.00,0.67,0.05,0.04,270.00,10.00,14.46
7.00,1450.00,0.69,0.06,0.04,270.00,10.00,11.58
7.00,1450.00,0.57,0.06,0.03,270.00,10.00,8.77
7.00,1450.00,0.56,0.06,0.04,270.00,10.00,9.83
7.00,1450.00,0.68,0.05,0.03,270.00,10.00,13.95
7.00,1450.00,0.67,0.06,0.03,270.00,10.00,11.08
7.00,1450.00,0.52,0.05,0.04,267.50,10.00,9.50
7.00,1450.00,0.68,0.06,0.03,270.00,10.00,11.51
7.00,1450.00,0.62,0.05,0.04,270.00,10.00,12.74
7.00,1480.00,0.51,0.05,0.03,260.00,10.00,9.88
7.00,1480.00,0.47,0.04,0.01,242.50,10.00,13.57
7.00,1480.00,0.37,0.04,0.01,227.50,10.00,9.83
7.00,1480.00,0.35,0.03,0.01,220.00,10.00,13.52
7.00,1480.00,0.30,0.02,0.00,210.00,10.00,17.36
7.00,1480.00,0.22,0.02,0.00,207.50,10.00,11.19
7.00,1480.00,0.30,0.03,0.01,207.50,10.00,12.15
7.00,1480.00,0.19,0.03,0.01,207.50,10.00,7.75
7.00,1480.00,0.29,0.02,0.00,205.00,10.00,12.32
7.00,1480.00,0.31,0.02,0.00,207.50,10.00,15.56
7.00,1480.00,0.30,0.02,0.00,205.00,10.00,13.44
7.00,1480.00,0.23,0.03,0.01,205.00,10.00,8.23
7.00,1480.00,0.26,0.01,0.00,205.00,10.00,19.09
7.00,1480.00,0.21,0.02,0.01,202.50,10.00,8.79
7.00,1480.00,0.29,0.02,0.00,205.00,10.00,16.71
7.00,1480.00,0.18,0.02,0.00,205.00,10.00,8.88
7.00,1480.00,0.30,0.02,0.00,205.00,10.00,15.06
7.00,1480.00,0.23,0.03,0.01,202.50,10.00,9.25
7.00,1480.00,0.18,0.02,0.00,205.00,10.00,8.81
7.00,1100.00,0.32,0.01,0.00,212.50,15.00,21.42
7.00,1100.00,0.55,0.02,0.01,227.50,15.00,24.22
7.00,1100.00,0.59,0.04,0.03,257.50,15.00,14.36
7.00,1100.00,1.02,0.05,0.05,295.00,15.00,20.97
7.00,1100.00,1.20,0.07,0.09,340.00,15.00,16.24
7.00,1100.00,1.59,0.10,0.17,395.00,15.00,15.29
7.00,1100.00,2.16,0.13,0.26,457.50,15.00,17.08
7.00,1100.00,2.59,0.16,0.42,535.00,15.00,16.03
7.00,1100.00,3.34,0.19,0.61,625.00,15.00,17.14
7.00,1100.00,3.68,0.22,0.82,700.00,15.00,16.63
7.00,1100.00,4.19,0.25,1.05,772.50,15.00,16.66
7.00,1100.00,4.58,0.28,1.25,830.00,15.00,16.66
7.00,1100.00,4.92,0.30,1.47,887.50,15.00,16.55
7.00,1100.00,5.28,0.31,1.63,937.50,15.00,16.84
7.00,1100.00,5.34,0.33,1.79,967.50,15.00,16.30
7.00,1100.00,5.53,0.34,1.87,1010.00,15.00,16.31
7.00,1100.00,5.81,0.34,1.89,1027.50,15.00,17.08
7.00,1100.00,5.78,0.36,2.10,1035.00,15.00,16.18
7.00,1100.00,5.96,0.36,2.09,1055.00,15.00,16.56
7.00,1150.00,6.01,0.36,2.15,1080.00,15.00,16.80
7.00,1150.00,6.18,0.37,2.18,1082.50,15.00,16.94
7.00,1150.00,6.08,0.36,2.24,1092.50,15.00,16.83
7.00,1150.00,6.17,0.36,2.20,1090.00,15.00,16.96
7.00,1150.00,5.99,0.37,2.24,1080.00,15.00,16.02
7.00,1150.00,5.92,0.36,2.20,1085.00,15.00,16.39
7.00,1150.00,6.06,0.36,2.11,1075.00,15.00,16.72
7.00,1150.00,6.08,0.36,2.12,1075.00,15.00,16.77
7.00,1150.00,5.82,0.36,2.20,1065.00,15.00,16.01
7.00,1150.00,6.04,0.36,2.11,1070.00,15.00,16.78
7.00,1150.00,6.05,0.36,2.16,1067.50,15.00,16.79
7.00,1150.00,5.85,0.36,2.10,1075.00,15.00,16.20
7.00,1150.00,6.02,0.36,2.12,1075.00,15.00,16.54
7.00,1150.00,6.07,0.36,2.15,1065.00,15.00,16.80
7.00,1150.00,6.03,0.35,2.20,1062.50,15.00,17.16
7.00,1150.00,6.01,0.37,2.10,1070.00,15.00,16.29
7.00,1150.00,5.82,0.37,2.11,1072.50,15.00,15.85
7.00,1150.00,5.94,0.35,2.16,1077.50,15.00,16.73
7.00,1150.00,5.98,0.37,2.12,1075.00,15.00,16.38
7.00,1180.00,6.04,0.35,2.09,1070.00,15.00,17.07
7.00,1180.00,6.00,0.36,2.06,1057.50,15.00,16.85
7.00,1180.00,5.93,0.35,2.04,1052.50,15.00,16.82
7.00,1180.00,5.85,0.34,1.98,1045.00,15.00,17.01
7.00,1180.00,5.78,0.35,2.02,1045.00,15.00,16.50
7.00,1180.00,5.79,0.34,1.89,1032.50,15.00,17.03
7.00,1180.00,5.62,0.34,1.95,1025.00,15.00,16.42
7.00,1180.00,5.55,0.34,1.92,1030.00,15.00,16.27
7.00,1180.00,5.54,0.33,1.86,1037.50,15.00,16.78
7.00,1180.00,5.56,0.33,1.82,1015.00,15.00,17.05
7.00,1180.00,5.41,0.34,1.87,1030.00,15.00,16.16
7.00,1180.00,5.60,0.33,1.80,1015.00,15.00,16.85
7.00,1180.00,5.55,0.34,1.82,1007.50,15.00,16.58
7.00,1180.00,5.54,0.34,1.86,1017.50,15.00,16.42
7.00,1180.00,5.49,0.32,1.79,1015.00,15.00,16.97
7.00,1180.00,5.59,0.33,1.79,1007.50,15.00,16.93
7.00,1180.00,5.45,0.33,1.82,1020.00,15.00,16.57
7.00,1180.00,5.60,0.34,1.86,1000.00,15.00,16.71
7.00,1180.00,5.54,0.34,1.86,1010.00,15.00,16.37
7.00,1200.00,5.45,0.34,1.86,1010.00,15.00,16.22
7.00,1200.00,5.44,0.32,1.72,990.00,15.00,16.74
7.00,1200.00,5.23,0.31,1.65,975.00,15.00,16.74
7.00,1200.00,5.15,0.31,1.63,960.00,15.00,16.34
7.00,1200.00,4.99,0.30,1.54,940.00,15.00,16.50
7.00,1200.00,4.98,0.30,1.47,935.00,15.00,16.82
7.00,1200.00,4.86,0.29,1.42,917.50,15.00,16.62
7.00,1200.00,4.86,0.29,1.42,912.50,15.00,16.60
7.00,1200.00,4.80,0.28,1.37,902.50,15.00,16.86
7.00,1200.00,4.79,0.29,1.38,895.00,15.00,16.66
7.00,1200.00,4.79,0.29,1.40,902.50,15.00,16.45
7.00,1200.00,4.80,0.29,1.38,892.50,15.00,16.68
7.00,1200.00,4.71,0.28,1.33,890.00,15.00,16.68
7.00,1200.00,4.78,0.29,1.36,892.50,15.00,16.48
7.00,1200.00,4.73,0.29,1.36,885.00,15.00,16.44
7.00,1200.00,4.74,0.28,1.34,882.50,15.00,16.77
7.00,1200.00,4.71,0.29,1.34,880.00,15.00,16.45
7.00,1200.00,4.75,0.29,1.34,885.00,15.00,16.60
7.00,1200.00,4.73,0.28,1.34,880.00,15.00,16.73
7.00,1200.00,4.67,0.28,1.31,882.50,15.00,16.76
7.00,1250.00,4.55,0.28,1.25,875.00,15.00,16.56
7.00,1250.00,4.44,0.26,1.16,852.50,15.00,16.74
7.00,1250.00,4.32,0.26,1.13,830.00,15.00,16.55
7.00,1250.00,4.24,0.25,1.08,817.50,15.00,16.61
7.00,1250.00,4.13,0.25,1.01,802.50,15.00,16.62
7.00,1250.00,4.04,0.25,1.00,797.50,15.00,16.42
7.00,1250.00,4.04,0.24,0.97,782.50,15.00,16.67
7.00,1250.00,4.01,0.24,0.96,777.50,15.00,16.73
7.00,1250.00,4.00,0.24,0.97,780.00,15.00,16.58
7.00,1250.00,3.96,0.24,0.93,780.00,15.00,16.66
7.00,1250.00,4.02,0.24,0.96,767.50,15.00,16.74
7.00,1250.00,3.96,0.24,0.93,767.50,15.00,16.76
7.00,1250.00,3.96,0.24,0.93,770.00,15.00,16.69
7.00,1250.00,3.93,0.24,0.93,765.00,15.00,16.57
7.00,1250.00,3.88,0.24,0.93,775.00,15.00,16.43
7.00,1250.00,3.94,0.23,0.91,762.50,15.00,16.87
7.00,1250.00,3.93,0.24,0.92,765.00,15.00,16.63
7.00,1250.00,3.93,0.24,0.95,765.00,15.00,16.48
7.00,1250.00,3.95,0.24,0.93,760.00,15.00,16.64
7.00,1300.00,3.59,0.21,0.76,742.50,15.00,16.98
7.00,1300.00,3.16,0.19,0.60,690.00,15.00,16.52
7.00,1300.00,2.89,0.18,0.52,635.00,15.00,16.04
7.00,1300.00,2.69,0.15,0.41,592.50,15.00,17.67
7.00,1300.00,2.39,0.15,0.37,570.00,15.00,15.96
7.00,1300.00,2.36,0.14,0.33,537.50,15.00,17.46
7.00,1300.00,2.24,0.14,0.28,522.50,15.00,16.56
7.00,1300.00,2.28,0.12,0.27,507.50,15.00,18.60
7.00,1300.00,2.01,0.13,0.28,500.00,15.00,15.31
7.00,1300.00,2.16,0.12,0.24,490.00,15.00,17.82
7.00,1300.00,1.99,0.13,0.24,487.50,15.00,15.57
7.00,1300.00,2.15,0.12,0.24,485.00,15.00,18.32
7.00,1300.00,2.00,0.13,0.24,482.50,15.00,15.82
7.00,1300.00,1.94,0.12,0.26,482.50,15.00,15.65
7.00,1300.00,2.17,0.12,0.26,487.50,15.00,18.12
7.00,1300.00,1.96,0.12,0.24,485.00,15.00,15.85
7.00,1300.00,2.15,0.11,0.24,485.00,15.00,19.10
7.00,1300.00,2.14,0.12,0.24,485.00,15.00,17.82
7.00,1300.00,2.13,0.12,0.24,482.50,15.00,18.54
7.00,1350.00,1.81,0.12,0.22,475.00,15.00,15.24
7.00,1350.00,1.79,0.10,0.19,452.50,15.00,17.68
7.00,1350.00,1.74,0.09,0.17,432.50,15.00,18.85
7.00,1350.00,1.46,0.10,0.14,417.50,15.00,14.77
7.00,1350.00,1.43,0.09,0.13,407.50,15.00,15.50
7.00,1350.00,1.59,0.08,0.13,400.00,15.00,19.84
7.00,1350.00,1.32,0.09,0.12,395.00,15.00,14.69
7.00,1350.00,1.53,0.08,0.12,390.00,15.00,20.11
7.00,1350.00,1.46,0.08,0.12,390.00,15.00,18.56
7.00,1350.00,1.49,0.07,0.12,387.50,15.00,20.25
7.00,1350.00,1.50,0.08,0.12,385.00,15.00,19.31
7.00,1350.00,1.44,0.08,0.12,387.50,15.00,17.19
7.00,1350.00,1.52,0.08,0.12,387.50,15.00,19.32
7.00,1350.00,1.41,0.08,0.12,387.50,15.00,16.82
7.00,1350.00,1.41,0.09,0.12,390.00,15.00,16.54
7.00,1350.00,1.32,0.09,0.12,390.00,15.00,14.89
7.00,1350.00,1.52,0.08,0.12,387.50,15.00,19.29
7.00,1350.00,1.48,0.08,0.12,390.00,15.00,18.44
7.00,1350.00,1.36,0.08,0.12,387.50,15.00,16.24
7.00,1400.00,1.39,0.07,0.10,382.50,15.00,19.17
7.00,1400.00,1.18,0.07,0.09,362.50,15.00,16.82
7.00,1400.00,1.10,0.06,0.08,347.50,15.00,17.22
7.00,1400.00,1.02,0.06,0.05,335.00,15.00,16.59
7.00,1400.00,0.86,0.06,0.05,322.50,15.00,14.87
7.00,1400.00,1.01,0.05,0.05,315.00,15.00,21.24
7.00,1400.00,0.80,0.06,0.05,310.00,15.00,13.64
7.00,1400.00,0.86,0.05,0.05,310.00,15.00,17.56
7.00,1400.00,0.79,0.05,0.05,307.50,15.00,14.72
7.00,1400.00,0.89,0.05,0.04,305.00,15.00,16.65
7.00,1400.00,0.96,0.05,0.04,305.00,15.00,19.17
7.00,1400.00,0.89,0.05,0.04,302.50,15.00,16.60
7.00,1400.00,0.80,0.06,0.04,300.00,15.00,14.18
7.00,1400.00,0.78,0.05,0.04,300.00,15.00,14.53
7.00,1400.00,0.78,0.05,0.04,302.50,15.00,15.22
7.00,1400.00,0.95,0.05,0.04,302.50,15.00,21.06
7.00,1400.00,0.88,0.05,0.04,307.50,15.00,18.92
7.00,1400.00,0.77,0.05,0.04,305.00,15.00,13.93
7.00,1400.00,0.95,0.04,0.04,305.00,15.00,21.77
7.00,1450.00,0.88,0.04,0.04,302.50,15.00,22.12
7.00,1450.00,0.65,0.04,0.03,287.50,15.00,16.16
7.00,1450.00,0.59,0.04,0.03,272.50,15.00,14.24
7.00,1450.00,0.58,0.04,0.03,262.50,15.00,15.37
7.00,1450.00,0.60,0.02,0.01,257.50,15.00,25.05
7.00,1450.00,0.46,0.03,0.01,247.50,15.00,17.52
7.00,1450.00,0.46,0.03,0.01,247.50,15.00,14.27
7.00,1450.00,0.43,0.03,0.01,242.50,15.00,16.19
7.00,1450.00,0.57,0.02,0.01,245.00,15.00,23.89
7.00,1450.00,0.43,0.03,0.01,245.00,15.00,15.55
7.00,1450.00,0.47,0.03,0.01,242.50,15.00,16.39
7.00,1450.00,0.53,0.03,0.01,245.00,15.00,16.84
7.00,1450.00,0.56,0.02,0.01,242.50,15.00,23.53
7.00,1450.00,0.43,0.03,0.01,242.50,15.00,17.25
7.00,1450.00,0.55,0.03,0.01,242.50,15.00,16.96
7.00,1450.00,0.41,0.03,0.01,245.00,15.00,14.22
7.00,1450.00,0.56,0.03,0.01,245.00,15.00,21.38
7.00,1450.00,0.41,0.03,0.01,242.50,15.00,14.09
7.00,1450.00,0.55,0.02,0.01,242.50,15.00,23.11
7.00,1480.00,0.51,0.02,0.01,242.50,15.00,25.69
7.00,1480.00,0.38,0.02,0.01,235.00,15.00,20.27
7.00,1480.00,0.32,0.02,0.01,227.50,15.00,16.93
7.00,1480.00,0.28,0.02,0.00,220.00,15.00,13.35
7.00,1480.00,0.38,0.01,0.01,215.00,15.00,25.25
7.00,1480.00,0.31,0.02,0.00,210.00,15.00,17.64
7.00,1480.00,0.31,0.02,0.00,210.00,15.00,16.67
7.00,1480.00,0.24,0.02,0.00,207.50,15.00,14.69
7.00,1480.00,0.32,0.01,0.00,207.50,15.00,32.00
7.00,1480.00,0.34,0.02,0.00,207.50,15.00,20.69
7.00,1480.00,0.23,0.02,0.01,210.00,15.00,13.07
7.00,1480.00,0.32,0.01,0.00,207.50,15.00,36.43
7.00,1480.00,0.28,0.02,0.00,210.00,15.00,14.87
7.00,1480.00,0.35,0.01,0.00,207.50,15.00,23.25
7.00,1480.00,0.27,0.01,0.00,207.50,15.00,26.75
7.00,1480.00,0.30,0.02,0.00,207.50,15.00,16.07
7.00,1480.00,0.25,0.01,0.00,207.50,15.00,22.11
7.00,1480.00,0.34,0.01,0.00,207.50,15.00,33.62
7.00,1480.00,0.34,0.01,0.00,207.50,15.00,24.55
7.00,1100.00,0.40,0.01,0.00,210.00,18.00,26.50
7.00,1100.00,0.39,0.02,0.01,225.00,18.00,17.17
7.00,1100.00,0.55,0.03,0.01,250.00,18.00,16.96
7.00,1100.00,0.92,0.04,0.04,285.00,18.00,25.41
7.00,1100.00,1.09,0.06,0.06,327.50,18.00,17.16
7.00,1100.00,1.55,0.08,0.12,377.50,18.00,20.39
7.00,1100.00,2.03,0.10,0.20,440.00,18.00,21.10
7.00,1100.00,2.59,0.12,0.32,512.50,18.00,20.89
7.00,1100.00,3.24,0.16,0.50,605.00,18.00,20.09
7.00,1100.00,3.59,0.19,0.68,685.00,18.00,19.42
7.00,1100.00,4.07,0.21,0.86,755.00,18.00,19.16
7.00,1100.00,4.57,0.23,1.08,822.50,18.00,19.55
7.00,1100.00,4.93,0.26,1.28,885.00,18.00,19.26
7.00,1100.00,5.17,0.27,1.45,947.50,18.00,19.05
7.00,1100.00,5.55,0.28,1.54,977.50,18.00,19.46
7.00,1100.00,5.71,0.29,1.63,1025.00,18.00,19.60
7.00,1100.00,5.84,0.29,1.68,1022.50,18.00,19.98
7.00,1100.00,5.78,0.31,1.86,1042.50,18.00,18.65
7.00,1100.00,6.03,0.31,1.88,1070.00,18.00,19.39
7.00,1150.00,6.12,0.31,1.95,1077.50,18.00,19.82
7.00,1150.00,6.05,0.32,1.88,1090.00,18.00,18.83
7.00,1150.00,6.08,0.32,1.91,1087.50,18.00,18.85
7.00,1150.00,6.06,0.31,1.96,1092.50,18.00,19.23
7.00,1150.00,6.25,0.32,1.91,1097.50,18.00,19.60
7.00,1150.00,6.01,0.32,1.96,1090.00,18.00,19.00
7.00,1150.00,6.11,0.31,1.91,1080.00,18.00,19.77
7.00,1150.00,6.07,0.31,1.89,1082.50,18.00,19.66
7.00,1150.00,5.97,0.31,1.93,1077.50,18.00,19.17
7.00,1150.00,6.14,0.31,1.87,1082.50,18.00,19.97
7.00,1150.00,6.13,0.31,1.86,1077.50,18.00,19.45
7.00,1150.00,6.00,0.31,1.91,1077.50,18.00,19.35
7.00,1150.00,6.11,0.31,1.92,1077.50,18.00,19.49
7.00,1150.00,6.07,0.31,1.87,1072.50,18.00,19.76
7.00,1150.00,6.13,0.31,1.91,1070.00,18.00,19.69
